Lamb, 39.2
Beef, 27
Cheese, 13.5
Pork, 12.1
Farmed Salmon, 11.9
Turkey, 10.9
Chicken, 6.9
Canned Tuna, 6.1
Eggs, 4.8
Potatoes, 2.9
Rice, 2.7
Peanut Butter, 2.5
Nuts, 2.3
Yogurt, 2.2
Broccoli, 2
Tofu, 2
Dry Beans, 2
Vegetables, 2
Milk (2%), 1.9
Tomatoes, 1.1
Lentils, 0.9
Fish, 6.1
Beans, 2.0
